company_id,from_year,to_year,previous_pattern,new_pattern,change
SBILIFE,2021,2022,Mixed,Reinvestor,Mixed -> Reinvestor
SBIN,2013,2014,Reinvestor,Mixed,Reinvestor -> Mixed
SBIN,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
SBIN,2015,2016,Reinvestor,Mixed,Reinvestor -> Mixed
SBIN,2016,2017,Mixed,Reinvestor,Mixed -> Reinvestor
SBIN,2017,2018,Reinvestor,Distress Signal,Reinvestor -> Distress Signal
SBIN,2018,2019,Distress Signal,Cash Accumulator,Distress Signal -> Cash Accumulator
SBIN,2019,2020,Cash Accumulator,Mixed,Cash Accumulator -> Mixed
SBIN,2021,2022,Mixed,Reinvestor,Mixed -> Reinvestor
SBIN,2022,2023,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
SBIN,2023,2024,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
SHREECEM,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
SHREECEM,2018,2019,Mixed,Reinvestor,Mixed -> Reinvestor
SHREECEM,2019,2020,Reinvestor,Mixed,Reinvestor -> Mixed
SHREECEM,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
SHRIRAMFIN,2017,2018,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
SHRIRAMFIN,2018,2019,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
SHRIRAMFIN,2022,2023,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
SHRIRAMFIN,2023,2024,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
SIEMENS,2017,2018,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
SIEMENS,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
SIEMENS,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
SUNPHARMA,2013,2014,Reinvestor,Mixed,Reinvestor -> Mixed
SUNPHARMA,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
SUNPHARMA,2020,2021,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
SUNPHARMA,2021,2022,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
SUNPHARMA,2022,2023,Reinvestor,Mixed,Reinvestor -> Mixed
SUNPHARMA,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
TATACONSUM,2013,2014,Cash Accumulator,Reinvestor,Cash Accumulator -> Reinvestor
TATACONSUM,2015,2016,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
TATACONSUM,2017,2018,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TATACONSUM,2018,2019,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
TATACONSUM,2019,2020,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
TATACONSUM,2023,2024,Reinvestor,Mixed,Reinvestor -> Mixed
TATAMOTORS,2014,2015,Reinvestor,Mixed,Reinvestor -> Mixed
TATAMOTORS,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
TATAMOTORS,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
TATAMOTORS,2021,2022,Mixed,Reinvestor,Mixed -> Reinvestor
